Sequence,Speaker,Utterance,Column1
270,M2:,...(4.0)唉這個現代人的毛病也是很多耶 .,
271,M1:,..蛤那個尤其是 --,
272,M1:,..很嚴重啊 .,
,,..小樓也講說他也沒有說 .,
273,M1:,..他說覺得說如果說他覺得在家裡太無聊 .,
274,M1:,..他就去 --,
275,M1:,...去工作嘛 .,
276,M1:,...賺多賺少那是一回事啊 .,
277,M2:,..um .,
278,M1:,..然後去工作有點事情做 .,
279,M1:,...(2.2)那 --,
280,M1:,..他又不要 .,
281,M2:,...(1.9)那像 --,
282,M2:,..我想一下我最後我-,
283,M2:,..因為我跟他不熟 --,
,,是李跟嘉認識他 .,
284,M2:,..然後零九年那時候[我們剛好在去] --,
285,M1:,                               [在他在]內湖有一段時間了 .,
287,M1:,"..因為我那時候剛進[[寶來的]]那時候 ,",
288,M2:,                               [[喔喔]] .,
289,M1:,..他 --,
290,M1:,...(1.7)那時候我寫<L2 Moodys L2>信評他寫 --,
291,M1:,..[[[他寫]]]中華信評 .,
292,M2:,...(3.5)[[[喔]]] .,
293,M1:,..所以信評這個部分我們算是有交[[[[集]]]] .,
294,M2:,                                                    [[[[那]]]]我在猜他後來應該就 --,
295,M2:,..零九年我碰到他的時候 --,
296,M2:,..他看起來應該已經有那樣的症狀-,
,,只是那時候不嚴重還是說因為 --,
297,M2:,..朋友來 --,
,,然後因為那一天他也沒講什麼話 .,
298,M1:,[喔] .,
299,M2:,[我們也感]受 --,
300,M2:,..[[我們也感覺不出來]] .,
301,M1:,[[大概-,
302,M1:,"..大概就是]]趕快他媽的吃完跑了 ,",
303,M2:,..對那一天我們也感覺不出來他有什麼特殊的異樣說真的 .,
304,M1:,...(1.3)李知道嗎 ?,
305,M2:,(0)都知道阿 .,
306,M1:,...(0.9)李也有被他騷擾過嗎 ?,
307,M2:,...(0.7)好像有 .,
308,M1:,[@@@],
309,M2:,[但是呢] --,
310,M2:,..李應該也是把他打發掉而已 .,
311,M1:,...(1.8)那李那個比較厲害啦 .,
312,M2:,..應該就是把他打發掉 .,
313,M1:,"..李應該就是 ,",
314,M1:,...(1.7)<L3 tseng siau e L3>啦 .,
315,M2:,(0)對呀 .,
316,M2:,..@ ,
317,M1:,...(2.3)eh他現在還-,
318,M1:,..他現在還在大展 .,
319,M2:,(0)um .,
320,M2:,..他掛執副我在猜他可能過兩年變總經理 .,
321,M1:,(0)總經理 .,
322,M2:,(0)@@ ,
323,M1:,..eh你不要看 .,
324,M1:,..那個莉從投信離開了之後現在是國泰-,
,,(0)國泰證的總經理ne .,
325,M2:,"(0)對我有聽說 ,",
,,(0)那個國泰證想要 --,
326,M2:,..看看有沒有辦法做到-,
,,(0)可是 --,
327,M2:,..我覺得還是很小呀 .,
328,M2:,...他是不是才兩個店還三個[店] .,
329,M1:,                                          [他]-,
330,M1:,..他找白當總經理可能會大一點 .,
,,<@找莉當總經理<L3 na u kho liang L3>@> .,
331,M2:,...(1.8)然後莉[[也]]挖了幾個以前寶來的人過去 .,
332,M1:,                     [[不然]]-,
333,M1:,(0)不然就找那個 --,
334,M1:,...找那個 --,
335,M1:,..找黃老爹當總經理呀 .,
336,M1:,..<@那好一點好不好@> .,
337,M2:,"..莉 ,",
338,M2:,..我覺得他只會做小事eh .,
339,M1:,"..沒有啊我說 ,",
340,M1:,..他-,
341,M1:,..他在-,
,,(0)他在我們之前那個也就是穿著<L2 Prada L2>的惡魔啊 .,
342,M2:,(0)對呀 .,
343,M1:,(0)@@[@@XXX],
344,M2:,            [他都管一些無]聊的小事 .,
345,M1:,[[辦公桌放一邊]] .,
346,M2:,[[是蠻無聊的]] .,
347,M2:,..對沒什麼意思[[[啊]]] .,
348,M1:,                        [[[唉]]] .,
349,M2:,"...(1.4)那陣子我剛好[在] ,",
350,M1:,                                [喔對]你那時候[[在內湖]] .,
351,M2:,                                                        [[我很討厭阿]]我覺得他很煩 .,
,,(0)他一開始先說什麼<L2 MSN L2>不能用 .,
352,M1:,...這個合理呀合理呀合理 .,
353,M2:,(0)然後大家就改用<L2 Skype L2> .,
,,"(0)然後後來呢 ,",
354,M2:,..後來又說 --,
355,M2:,...你有申請他就可以開放-,
,,(0)反正我們就大家去申請 .,
,,(0)然後只是那陣子就比較少 .,
,,(0)然後又說 --,
356,M2:,...(.9)什麼辦公桌上面什麼東西要怎麼擺 .,
,,(0)然後我想說你-,
,,(0)頭腦有問題我根本不甩他 .,
357,M2:,"...(.7)然後有一陣子還 ,",
358,M2:,...(.8)人資還跟我說什麼我-,
359,M2:,...(1.0)我西裝外套吊後面不行 .,
360,M2:,..我想說我吊在那邊關你屁事啊 ?,
,,(0)是怎樣 ?,
,,..我就[不甩他] .,
361,M1:,          [喔對]你是說吊在椅子-,
,,(0)掛在椅子上呀 .,
362,M2:,(0)不是椅子上 .,
,,"(0)後面那個 ,",
363,M2:,"..<L2 cubicle L2>那個 ,",
364,M2:,.. <L2 cubicle wall L2>上面 .,
365,M1:,(0)喔 .,
366,M1:,...為什麼不行 ?,
367,M2:,(0)我那邊有一根 --,
,,(0)那種有一個突出來 .,
,,(0)我就用[一個衣架掛] .,
368,M1:,                [對呀] .,
,,(0)對呀很多人都這樣啊 .,
369,M2:,(.8)他說什麼有礙風化-,
,,(0)我想說我管你的 ?,
,,(0)如果不高興就把我趕走呀 !,
,,..你把我<L2 fire L2>掉好了 !,
,,(0)還是你減我薪-,
,,(0)我就不甩他-,
,,(0)我就繼續掛-,
370,M2:,..然後他還會來檢查說什麼領帶 .,
371,M2:,...什麼顏色 .,
372,M2:,...(.7)他那個頭腦真得都壞掉了 .,
,,(0)反正我就不甩 .,
,,(0)一直在那邊X不甩不甩不甩不[[甩]] .,
373,M1:,                                              [[eh]]我們以前-,
374,M1:,..以前-,
375,M1:,"...(.8)喔對了 ,",Sherry
,M1:,你不是坐裡面哪 .,
376,M1:,... (.9)南海特區 .,
,M1:,@@@@,
377,M2:,"..一開始呢 ,",
,M2:,"我有坐在裡面 ,",
,M2:,然後後來[因為] --,
378,M1:,              [那你]為什麼搬出來 ?,
379,M2:,..因為他們 --,
,M2:,劉被換進去 .,
380,M1:,"(0)喔 ,",
381,M1:,...[對對對對對] .,
382,M2:,"   [然後我就搬出來] ,",
,M2:,劉坐到我的位子上 .,
383,M1:,(0)對對對[[對對]] .,
384,M2:,"               [[然後]]搬出來我想說也沒差 ,",
,M2:,因為 --,
385,M1:,"(0)應該是坐在那個角落[那個] ,",
386,M2:,                                     [對] .,
387,M1:,"(0)之前 ,",
,M1:,"就是 ,",
388,M1:,"...um ,",
389,M1:,"...(.7)這個 ,",
,M1:,蔡秘書的後面的後面黃後[面]的位子 .,
390,M2:,                                        [對] .,
391,M2:,"..然後呢後來呢劉搬進去 ,",
,M2:,"那我就搬出來 ,",
,M2:,"那在外面 ,",
,M2:,"反正也不會常常遇到XXX或遇到什麼東西 ,",
,M2:,我在外面也很<L2 OK L2> .,
392,M2:,..可是有時候他就會有一些人在那邊晃來晃去 .,
,M2:,"聽說啦 ,",
393,M2:,"...之前 ,",
,M2:,莉還晃到裡面去 .,
394,M2:,..好幾次 .,
395,M1:,"..um ,",
,M1:,[那最好 --,
,M1:,                  最好看到 --],
398,M2:,[XXXXXX西],
396,M1:,"..最好看到白 ,",
397,M1:,..的那個衣服是掛在牆壁上 .,
399,M2:,"(0)他當然不會講啊 ,",
,M2:,"[[反正]]後來就大家就有在那邊 ,",
400,M2:,...抱怨連天 .,
,M2:,"所以後來 ,",
,M2:,一陣子以後他就沒繼續弄了 .,
402,M1:,..對呀 .,
403,M2:,(0)他好像就玩了半年吧 .,
404,M1:,..我知道呀 .,
405,M2:,(0)感覺那個非常愚蠢 .,
406,M2:,..非常可笑 .,
407,M1:,"..我知道 ,",
,M1:,"後來好像 ,",
408,M1:,"...(.8)好像 ,",
