Turn,Speaker,Utterance
83,F1:, .. 拿 這樣 一大 疊
83,F1:, .. 不是
83,F1:, .. 一大 袋
83,F1:, .. 然後 就
83,F1:, ... eh
83,F1:, .. 有 沒有 缺 之 類 的
83,F1:, .. 因為 他 有 時候 會 跟
83,F1:, ... 我
83,F1:, ... 啊
83,F1:, .. 啊
83,F1:, .. 我 嬸嬸 會 跟 那個 啊
83,F1:, .. 她 的 同事 有 沒有
83,F1:, .. 大家 share
84,F2:, .. 你 嬸嬸 是 做 甚麼 的
84,F2:, .. [老 師]
85,F1:, [在]
85,F1:, .. 不是
85,F1:, .. 在 那 個
85,F1:, ... Canon
85,F1:, .. 就 照相機 [[那 一 個]]
86,F2:, [[uh]] uhuh
87,F1:, .. Canon 那邊 去
87,F1:, ... 就是 那 邊 的
87,F1:, ... [[[作 業員]]] 吧
87,F1:, .. 我 在 想
87,F1:, .. 應該 是 作業 員
88,F2:, [[[作 業員]]]
88,F2:, .. um
89,F1:, .. 這樣 買照 相機 還蠻 方便 的 耶
90,F2:, ... 是 啊
91,F1:, .. 因為 他們 有 員 工價 啊
92,F2:, ... 對
93,F1:, .. um
93,F1:, .. 而且
93,F1:, .. 直接 就是 從
94,F2:, .. 可是 Canon 的 照相機 有
94,F2:, .. 因為 我 最近 想 買 數位 相機
94,F2:, .. 有 沒有 比 較 好的
95,F1:, .. Canon
95,F1:, .. [哪 一型 呢]
95,F1:, .. 我 之前 有
95,F1:, ... 有
95,F1:, .. 跟 她 要 那 個目 錄
96,F2:, [比 較好]
96,F2:, .. um
96,F2:, ... [[幫 我 問 一下]]
97,F1:, [[它 也 只有 那 個]]
97,F1:, .. 啊 它 也 只有 那 個 甚 麼
97,F1:, ... IX IXX 那 一 種
97,F1:, .. 我 也 不 知道
97,F1:, .. 反正 anyway
97,F1:, .. 有 啦
97,F1:, .. 應該 是 有 啦
98,F2:, .. 幫 我 問 她 說
98,F2:, .. 有 沒有 哪 一 款 比較 值得 推薦
98,F2:, .. 我 來 考慮 一下
98,F2:, .. 因為 我 那 台 數位 相機
98,F2:, .. 是 那 個 Nikon
99,F1:, .. um
99,F1:, .. [它 不是 還 不 錯]
100,F2:, [太 舊]
100,F2:, .. 太 舊
101,F1:, .. 舊 的 意思 是
102,F2:, .. 就是 它 的 那 個解 析度
102,F2:, .. 跟 還有 它 的
102,F2:, .. 三
102,F2:, .. 我 記 得 那 時候 買 好像 三百而已 吧
103,F1:, .. 喔
103,F1:, .. 現 在 [[都 六七百 了]]
104,F2:, [[而且]]
104,F2:, .. 對 啊
104,F2:, .. 而且
104,F2:, .. 它 的 螢幕 又 很 小
104,F2:, .. [所以] 可以 照到 的 地方 就 很 小
104,F2:, .. 然 後還 有 那 個
104,F2:, ... 甚麼
104,F2:, ... 手震
104,F2:, .. 它 沒有 防手 震
104,F2:, .. 你 沒 看到 我 就
105,F1:, [um]
105,F1:, .. 糊[[掉]]
106,F2:, [[對]]
106,F2:, .. 拍 的 每 一 張 照片
106,F2:, .. 像是
106,F2:, ... 帕金 森氏症 一 樣
106,F2:, ... 所以 就
106,F2:, .. [想 說買 一 台]
107,F1:, [好
107,F1:, .. 我 再] 我 再 跟 她 問目 錄
108,F2:, .. um
108,F2:, .. 防手 震功 能
109,F1:, .. 應該 目錄 上
109,F1:, .. 都
109,F1:, .. 就是 各式各樣 的 應該 都 會 有
110,F2:, .. 可是 應該 有
110,F2:, .. 比如 說
110,F2:, .. 這 一 款 是 甚 麼 功能 比 較強
110,F2:, .. 那 一 款 是 甚 麼 功能 比 較強
111,F1:, .. 有
111,F1:, .. 它 旁邊 都 會寫
111,F1:, .. 就是 它 的 規格
111,F1:, .. 然後
111,F1:, .. 它 的 用途
111,F1:, .. 跟 到底 有 甚麼 特色 之 類 的
112,F2:, .. 第一 考慮 就是
112,F2:, .. 防手 震功能 要 強
112,F2:, .. 即使 你 這 樣子 拍 都 沒有 問題 才 可以
112,F2:, .. @@@
112,F2:, ... 就 你 這樣 拍 都 沒有 問題
113,F1:, .. 真是 <L3 著 猴 ( (中 邪) ) L3>
113,F1:, .. 不 可能
113,F1:, .. 你 這 樣子 拍
113,F1:, .. 哪 有 可能
114,F2:, .. 我 又 不是 幫 我 著 想
115,F1:, ... 幫 使用者 [[著 想 喔]]
115,F1:, .. 可是
115,F1:, .. um
115,F1:, .. 應該 有
115,F1:, .. 我 再
115,F1:, ... 回去 問 一下 XXX
116,F2:, [[對對 對對]]
116,F2:, .. 先 來 各 大 廠牌 先 打聽 一下
116,F2:, ... 然後 回去 賺錢 的 時候
116,F2:, .. 就 用 自己 的 錢
116,F2:, .. 買 一 台
117,F1:, .. um
117,F1:, ... 就 還好
117,F1:, .. 有 很多 都 可以
117,F1:, .. Sony 也 不 錯
117,F1:, .. 最近 不是 有 一 堆
118,F2:, .. Sony
118,F2:, ... eh
118,F2:, .. 那 個 甚 麼
119,F1:, .. 有 一 個 櫻 花色 的
120,F2:, .. um
